113,112,113,114,114,110,111,55,52,50,74,53,59,66,62,69,82,106,111,106,104,105,107
110,113,112,112,112,112,75,58,57,88,64,79,75,73,79,77,71,65,101,107,105,104,102
105,111,112,111,111,63,51,76,80,83,60,69,67,50,65,88,67,77,52,53,100,108,109
110,112,107,110,73,62,74,57,58,67,77,44,46,26,81,71,70,51,73,43,37,79,90
113,110,112,64,61,56,52,88,44,84,49,64,49,81,51,72,74,38,63,50,56,48,66
113,114,46,44,35,30,33,35,42,43,42,66,76,74,40,73,56,41,32,20,21,33,63
94,29,28,33,44,22,39,40,101,120,109,123,111,113,53,68,67,56,41,36,24,30,51
31,19,34,23,26,74,129,169,147,185,191,195,176,166,161,118,86,87,84,21,24,27,61
32,24,29,28,41,112,167,176,191,195,200,201,197,194,185,183,160,151,127,86,24,33,36
43,27,31,31,59,129,175,187,196,200,200,199,198,195,194,198,190,171,152,129,30,47,47
68,32,28,32,70,137,175,188,195,200,201,198,196,196,194,193,192,182,166,138,81,37,32
70,31,26,33,79,150,169,190,194,198,195,199,197,192,196,196,195,185,169,134,102,29,20
92,151,39,68,152,153,162,157,178,184,186,188,190,193,189,192,183,173,170,144,101,29,16
168,140,68,119,164,137,137,158,138,108,91,94,147,169,171,156,165,160,163,137,88,25,29
99,129,90,159,161,158,113,109,81,95,122,101,154,194,152,91,79,79,101,100,91,26,52
116,87,128,151,158,184,173,182,168,156,183,172,176,193,138,137,111,66,75,97,108,55,79
157,156,121,144,149,182,194,188,187,174,194,176,172,192,141,154,162,148,127,96,108,81,80
78,168,127,142,155,173,185,188,195,199,196,157,166,194,131,153,173,151,122,127,89,78,78
70,100,124,120,158,164,179,188,192,191,176,161,171,195,142,163,174,159,146,121,76,78,78
74,74,116,117,155,176,177,185,189,174,161,99,109,109,104,172,178,159,131,106,67,79,77
71,72,105,127,143,172,177,178,178,186,182,165,153,106,151,162,169,139,118,75,78,78,75
71,73,72,120,132,155,175,170,171,166,165,176,173,142,129,135,148,126,117,70,77,74,77
73,75,77,89,129,147,161,152,160,125,95,73,76,58,134,136,123,119,95,77,77,75,77
72,75,71,105,122,142,154,155,168,177,159,156,137,81,68,128,114,108,64,78,76,74,75
72,71,108,116,82,120,134,134,158,162,116,99,107,113,145,124,118,105,73,72,75,72,69
69,137,54,114,105,83,108,143,150,166,176,167,148,140,122,114,95,61,72,69,76,72,70
62,126,138,122,115,87,65,126,152,167,175,167,164,142,122,97,72,106,74,73,72,70,69
120,170,133,133,121,110,70,63,108,122,144,138,129,119,87,68,108,36,71,69,72,69,69
